员工ID,年龄,性别,最高学历,行龄,司龄,近2年绩效平均分,近2年内绩效为B-及以下的次数,近2年内获得A+的次数,近2年内绩效为A及以上的次数,近1年病假天数,近1年事假天数,近2年牵头项目个数,近2年日均工时,组长/骨干标识,重点项目成员标识,敏捷角色（PO/SM）,内部项目支持（担任PM）,外部项目支持（担任PM）,产品经理-业务分析,产品经理-产品设计,近2年行外发表的论文、杂志的数量,近2年获得的部门级以上奖励、荣誉数量,近2年获得的部门级以上的最高荣誉名称,年度部门内分享/培训次数（作为培训者）,年度部门外培训次数（作为培训者）,年度部门外培训次数（作为被培训者）,年度部门内分享/培训次数（作为被培训者）,近2年带教的实习生数量,近2年带教的校招新行员的数量,近2年带教的实习生转正数量,近2年带教的校招新行员转正成绩为A的数量,近3个月查看知识库会议纪要次数,当年资质证书获取情况,数据分析师-数据分析工具运用能力,数据分析师-算法模型开发能力,数据分析师-营销运营能力,数据研发师-SQL开发,数据研发师-数据模型设计,数据研发师-业务理解,应用研发-技术架构设计,应用研发-应用开发能力,AI算法工程师-数学与建模理论基础,AI算法工程师-编程与工程实现,学习能力,创新思维,任务拆解能力,领导力,团队合作,综合评价（A+、A、A-、B、B-）-直属上级,综合评价（A+、A、A-、B、B-）-同级同事,综合评价（A+、A、A-、B、B-）-下级（如有）,特长,兴趣爱好
11,28,男,硕士,3,1.8,3.88,1,0,2,2,0,2,7.5,0,0,0,0,0,0,0,0,0,,0,0,1,1,0,0,0,0,15,否,1,4,1,2,2,4,2,3,5,5,5,3,3,4,3,A,B-,A+,无,无
12,28,女,本科,5.5,3.8,3.89,0,0,1,3,0,1,7.8,0,0,0,0,0,0,0,0,0,,2,1,1,1,0,0,0,0,24,是,2,5,2,5,3,2,1,4,4,5,4,4,1,4,5,B+,B-,A-,编程,无
13,32,男,本科,1.1,2.2,2.92,0,1,0,1,0,0,8.9,0,0,0,0,0,1,1,0,0,,0,0,1,2,1,1,0,1,22,是,3,4,1,5,1,5,1,1,1,3,1,1,2,2,4,A-,A,,演讲,无
14,21,女,本科,3.4,3.1,3.38,0,1,0,1,2,0,7.6,0,0,0,0,0,0,0,0,0,,2,0,1,2,1,0,0,0,22,否,3,3,2,1,3,4,4,2,5,3,5,1,5,5,1,A,A,A-,无,阅读
15,22,女,本科,6.4,4.3,3.3,0,0,0,4,1,3,8.8,0,0,0,0,0,0,1,0,0,,1,0,1,0,0,2,0,0,18,是,2,5,5,2,2,3,5,3,2,2,4,4,4,3,2,A+,A,A-,无,无
16,28,女,硕士,0.9,2.3,3.71,0,0,0,1,2,0,7,0,0,0,0,0,0,0,0,0,,2,1,2,1,0,1,1,0,22,否,3,4,5,5,1,1,3,3,5,5,2,2,1,4,1,B-,A-,B+,无,旅行
17,25,男,本科,1.2,4.4,3.67,0,0,2,1,1,2,9,0,0,0,0,0,0,0,1,0,,0,0,2,2,0,1,2,0,15,是,3,3,1,3,5,5,3,3,1,3,5,3,4,5,5,B+,B,A+,无,摄影
18,32,男,本科,2.6,6.9,3.58,1,2,0,1,0,1,8.3,0,0,0,0,1,0,0,1,0,,1,0,1,0,2,0,1,1,22,否,2,5,1,2,2,1,4,1,3,5,2,4,2,5,5,B,A+,B,无,音乐
19,26,女,硕士,0.8,3.8,4.73,1,0,0,3,0,3,7.9,0,1,0,0,0,0,0,0,0,,1,0,2,1,0,1,0,1,23,否,3,3,2,1,2,1,4,2,1,1,1,3,3,4,1,A,B-,,无,旅行
20,23,女,硕士,2.3,2.7,3.35,0,0,0,3,1,2,8.1,0,0,0,0,0,0,0,0,3,技术标兵,1,0,0,1,0,1,0,0,16,否,3,5,2,4,2,2,3,5,3,4,5,5,2,5,4,A+,B+,B,无,无
21,38,男,本科,0.4,2.2,3.3,1,1,1,3,4,0,6.7,0,0,0,0,0,0,0,0,0,,2,0,1,0,0,0,0,0,20,是,4,1,3,5,1,5,2,2,2,4,4,4,3,5,4,B,B-,A+,项目管理,运动
22,29,女,硕士,4.2,2.8,2.92,0,0,0,1,1,1,8.1,0,0,0,0,0,0,0,1,0,,1,0,1,2,0,0,0,0,17,是,4,1,3,3,4,1,2,2,2,3,3,2,2,4,2,A+,A+,B-,无,运动
23,31,女,博士,2.9,3.5,2.73,0,1,2,0,2,3,7.9,0,1,0,1,0,0,0,0,0,,1,0,2,2,0,1,1,1,15,否,1,4,3,1,5,3,5,2,4,3,5,5,1,1,2,B+,A,A+,无,无
24,23,女,博士,6.8,5.8,2.89,0,0,2,1,2,3,6.7,0,0,0,0,0,0,0,0,0,,1,1,2,1,1,0,0,0,24,否,4,2,1,2,5,4,3,1,4,5,5,4,1,2,3,B,B-,A-,无,无
25,28,男,本科,2.5,2.8,3.14,0,0,1,2,1,2,7.3,0,0,0,0,1,0,0,0,1,优秀员工,2,0,0,1,2,2,0,0,14,是,4,1,3,5,3,5,3,1,3,3,5,1,4,3,3,B+,B,B,无,运动
26,31,男,硕士,0.7,4.7,4.16,0,1,0,1,0,1,7.9,0,0,0,1,0,0,0,1,0,,3,0,0,5,1,2,1,1,27,是,1,2,1,1,1,2,3,1,3,5,5,4,2,2,2,B,B,A+,无,无
27,25,男,本科,9.6,4.5,3.52,1,0,0,3,0,1,7.4,0,0,0,0,0,0,0,0,1,优秀员工,0,0,0,4,1,1,0,0,22,是,3,3,5,1,2,5,3,2,2,3,4,1,2,1,3,A,A-,B,无,阅读
28,32,女,硕士,3.9,4.7,3.6,1,0,0,3,0,1,6,0,0,0,0,0,0,0,0,0,,1,1,1,2,0,0,0,0,20,否,3,3,4,3,4,2,4,1,5,5,4,1,4,1,1,A-,B-,A+,无,无
29,27,女,博士,1.5,5.2,3.45,1,0,1,3,1,4,9.1,1,1,0,0,0,0,0,0,0,,1,0,0,0,2,0,0,0,22,是,4,2,5,4,1,4,1,3,3,3,3,4,5,5,4,A-,A,A,写作,无
30,29,女,硕士,2.3,8.3,3.68,1,0,2,2,2,0,7.9,0,1,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,32,否,1,4,1,4,1,3,3,1,3,2,4,4,2,2,3,A+,B+,,无,无
31,27,男,硕士,2.9,2,4.2,0,0,0,2,1,0,6,1,0,0,0,0,0,0,1,1,优秀员工,1,0,1,1,0,0,0,1,23,否,3,5,1,4,4,1,1,4,5,5,4,1,2,1,3,B-,A-,A-,无,无
32,40,女,硕士,4.4,5.7,2.5,0,0,3,1,1,2,10.1,0,0,1,1,0,0,0,0,0,,1,0,0,2,0,1,0,0,15,否,5,2,4,2,2,5,2,1,4,2,1,3,2,2,1,B,A,A+,无,运动
33,30,女,硕士,0.8,2.4,4.11,1,0,1,4,0,1,9.2,0,0,0,0,0,0,0,0,3,技术标兵,0,0,1,0,0,0,0,0,20,否,2,2,2,1,1,2,5,1,4,2,1,5,5,1,5,B+,A-,B+,无,无
34,25,女,本科,7.4,3,2.24,0,0,0,2,1,2,7.7,0,0,0,0,0,0,0,1,0,,0,0,3,0,1,0,1,0,26,否,2,2,2,2,5,4,2,1,3,2,2,2,1,3,2,B-,B-,A+,无,无
35,35,女,本科,7.4,1.4,3.51,0,0,2,2,0,2,7.2,0,0,0,1,1,0,0,0,0,,1,1,3,3,0,1,0,0,24,否,2,2,2,1,5,1,3,1,4,2,3,4,4,1,1,A,A+,A,无,阅读
36,24,男,本科,8.8,3.3,4.6,2,1,2,2,0,1,8.4,0,0,0,1,0,0,0,0,0,,1,1,0,1,0,1,0,1,24,是,4,2,3,3,4,4,2,4,4,1,1,5,5,2,5,A,B-,B+,项目管理,运动
37,32,男,硕士,1.8,5.7,3.84,0,1,0,1,0,4,8.2,0,1,0,0,0,0,0,0,0,,4,0,0,1,0,1,0,1,25,否,2,4,2,3,2,3,4,5,4,4,3,5,3,5,1,A,A,B+,无,阅读
38,21,女,本科,3.5,4.1,3.69,0,0,1,1,1,6,8.5,0,1,0,0,0,1,0,0,1,创新奖,0,0,1,0,1,1,0,0,21,否,2,1,3,2,4,1,1,1,2,1,3,3,3,2,4,A-,B+,A+,项目管理,音乐
39,24,男,本科,3.9,4.3,4.5,1,0,2,0,3,4,7.2,0,0,0,0,0,1,0,0,0,,0,0,1,1,0,0,0,0,20,否,5,5,3,2,1,1,3,3,1,3,5,5,5,4,1,B+,B+,A,演讲,无
40,31,男,本科,3.9,0.9,3.15,0,0,2,3,1,1,9.1,0,0,0,0,0,0,0,0,0,,3,1,1,2,0,0,0,0,15,否,3,1,2,3,5,1,4,4,3,3,3,4,5,2,1,A,A,B+,编程,运动
41,34,女,本科,2.4,2.3,3.72,2,0,2,2,3,2,7.5,0,0,0,0,0,0,0,0,0,,2,0,1,0,0,0,0,0,23,是,5,2,2,5,3,2,1,5,3,4,5,5,1,3,4,A,A-,,无,无
42,31,女,硕士,3.7,2,3.79,2,0,1,2,0,2,8.7,0,0,0,1,0,0,0,0,1,技术标兵,1,0,1,1,0,0,0,0,29,否,4,1,4,4,4,1,4,1,2,4,2,4,3,3,2,A+,B,A-,写作,无
43,30,男,硕士,3.6,4.4,3.24,0,0,1,2,1,0,7.2,0,0,0,0,0,0,0,0,2,优秀员工,1,0,3,2,0,0,1,0,21,是,2,4,4,4,3,4,2,5,1,4,2,4,4,3,5,B,A,B-,项目管理,运动
44,29,女,本科,2,1.5,3.28,1,0,0,2,0,0,10.6,0,0,0,0,0,0,0,0,1,创新奖,1,0,1,1,1,1,0,1,26,否,3,3,3,3,3,2,3,3,1,2,2,1,2,1,3,B,B-,A-,写作,无
45,23,男,硕士,3.5,10.3,3.23,1,1,3,3,1,0,8.7,1,1,0,0,0,0,0,0,0,,2,0,1,2,0,0,0,1,22,是,2,1,4,4,5,1,2,4,2,1,5,3,2,3,2,B,B+,B,编程,旅行
46,27,女,本科,2.2,2.9,3.54,0,1,0,2,0,1,10.9,1,1,0,0,0,0,0,0,0,,2,0,3,0,0,1,0,0,25,否,2,5,3,5,4,4,5,4,5,3,5,2,1,2,1,B-,A+,B,无,运动
47,28,男,本科,3.8,1.5,3.77,2,1,0,3,0,0,8.8,0,0,0,0,0,0,0,0,0,,1,0,0,2,1,0,0,0,20,是,4,4,1,5,3,4,3,5,5,1,2,1,1,5,3,A+,B+,A,无,无
48,36,女,硕士,6.7,2.1,3.56,0,0,1,5,0,4,7.4,0,0,1,0,0,0,0,1,0,,0,0,0,3,1,1,0,0,17,否,2,3,3,1,1,5,2,1,1,1,5,2,3,3,4,A-,B,B+,无,摄影
49,32,男,本科,2.1,5.1,3.85,1,0,0,1,1,2,8.8,1,0,0,0,1,0,0,0,1,优秀员工,2,0,1,2,1,0,0,0,18,否,1,4,3,2,2,4,3,2,5,1,4,4,4,2,2,B-,B+,A-,项目管理,无
50,22,男,本科,0.4,2.9,2.52,0,0,0,3,2,1,8.9,0,0,0,0,0,0,0,0,1,创新奖,3,0,0,3,0,0,0,0,37,是,3,2,4,4,2,3,1,4,5,4,4,1,4,1,5,A+,B,A-,无,无
51,32,男,硕士,6,1.3,3.39,0,0,2,1,3,2,8.4,0,0,0,0,0,0,0,0,0,,1,0,1,3,0,2,0,0,28,否,3,3,1,5,5,1,3,2,5,4,5,5,5,1,2,A,A,B-,项目管理,无
52,29,女,本科,4,1.2,2.99,0,1,1,2,2,0,8.6,1,0,0,0,0,0,1,0,1,技术标兵,1,0,0,3,0,2,1,0,22,否,1,5,5,2,4,1,3,4,1,3,5,5,1,5,2,B+,B+,A,无,摄影
53,27,男,本科,0.4,4.4,3.65,0,0,1,0,0,0,8.8,0,0,0,0,0,0,0,1,0,,0,0,0,2,2,1,0,0,18,否,4,3,5,2,4,1,1,1,5,3,1,2,2,5,3,B-,A-,,无,无
54,34,男,本科,0.4,4,3.64,2,0,1,1,1,1,7,0,0,0,0,0,0,0,0,0,,1,0,0,1,3,0,1,0,19,是,2,5,5,1,2,4,2,1,3,3,1,4,2,2,4,B-,B-,B+,数据分析,无
55,36,女,本科,5.8,1.7,3.44,0,1,2,1,1,0,6.9,0,1,1,0,0,0,0,0,1,创新奖,0,0,3,0,0,1,0,0,13,否,2,2,1,2,1,4,3,4,1,1,3,2,3,5,4,A,A-,A,无,无
56,35,女,本科,1.5,3.7,3.76,3,0,2,2,2,2,7.2,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,19,否,3,5,2,2,2,1,4,5,2,4,3,3,2,5,2,A,B-,A+,无,运动
57,26,男,本科,3.6,3.1,4,0,0,1,6,0,1,8.1,1,0,0,0,0,0,0,0,0,,1,0,2,1,1,4,0,0,22,否,4,4,1,3,2,2,3,1,5,2,3,5,4,1,4,B+,B+,A-,编程,音乐
58,29,男,硕士,3.5,1.8,3.47,0,0,1,1,2,2,7.8,0,0,0,0,0,0,0,0,1,技术标兵,1,0,4,0,0,0,0,0,20,否,4,1,4,1,4,2,2,1,4,1,2,1,4,2,3,B,B+,A,无,无
59,32,女,硕士,6.2,7,2.97,0,0,1,3,0,0,7,0,0,0,0,0,1,0,0,0,,0,1,0,2,0,1,1,0,17,否,4,4,3,1,3,3,1,3,1,5,4,1,1,5,3,B-,B-,A,无,阅读
60,35,女,硕士,4.6,5.9,2.71,0,1,3,1,0,1,8.8,0,0,0,0,0,0,1,0,0,,1,1,1,3,0,1,0,0,26,是,2,4,3,4,1,5,2,1,2,1,2,1,3,2,5,A+,A+,B-,无,音乐
61,28,女,硕士,4,4.7,3.52,1,1,1,3,0,0,8.3,0,1,0,1,0,0,0,1,1,优秀员工,0,0,2,2,1,0,0,0,27,是,4,3,4,2,4,3,5,3,3,4,5,5,2,3,4,A-,B+,,无,音乐
62,30,女,硕士,2.6,5.2,3.62,0,0,1,3,1,1,8.2,0,1,0,0,0,0,0,0,0,,0,0,2,2,1,0,1,0,17,是,1,2,4,4,2,1,3,1,2,5,1,4,1,1,5,A,A+,A+,无,无
63,25,女,本科,6.9,4.9,3.02,0,1,0,1,1,2,7.7,0,0,0,0,0,0,0,0,0,,2,0,1,1,0,1,0,0,27,是,5,1,3,5,3,1,3,1,5,1,5,5,5,1,1,A,A+,B,无,无
64,25,男,本科,0.4,2.6,3.86,0,1,2,1,1,0,7.6,1,0,0,0,0,0,0,1,1,创新奖,2,0,0,0,0,0,0,0,27,否,4,5,2,2,1,1,1,5,4,4,5,5,5,1,3,A-,B-,A-,无,音乐
65,35,女,本科,3.9,3.3,3.27,0,0,1,3,0,0,7.2,0,0,0,0,0,0,0,0,0,,0,0,1,1,0,0,0,0,30,否,5,3,2,5,5,5,3,5,5,4,1,1,2,4,2,A+,A+,B-,无,无
66,37,男,本科,11.9,5.8,2.67,0,1,1,3,2,3,8.9,0,0,0,1,0,0,0,1,1,优秀员工,2,1,0,2,0,0,0,0,23,是,2,2,2,3,1,4,4,1,2,2,5,5,2,2,3,A,A+,,数据分析,运动
67,30,男,本科,3,2.1,4.13,0,0,0,0,2,2,7.3,0,1,0,0,1,0,0,0,0,,0,0,0,3,0,1,0,0,20,否,4,1,4,2,1,5,4,4,1,1,3,1,2,3,1,A-,A,,写作,无
68,36,男,本科,5.5,5.4,4.07,2,0,3,2,0,2,8.2,0,0,0,0,0,0,0,0,0,,0,0,2,1,1,1,1,0,23,否,3,4,3,4,2,3,2,4,4,4,1,4,4,5,2,A,A-,A,无,旅行
69,32,女,硕士,7.4,3.3,2.49,0,0,0,3,2,3,9.7,1,0,0,0,0,0,0,0,2,创新奖,1,0,2,1,1,1,0,0,21,否,2,2,3,4,2,4,1,1,4,3,5,3,2,3,4,B,A+,A-,无,无
70,27,男,博士,1.2,1.3,3.22,1,1,1,4,2,1,7.7,0,0,0,0,0,0,0,0,0,,1,0,2,1,0,2,0,0,31,否,1,2,3,2,5,4,5,4,2,4,3,1,5,2,4,B,A-,B,无,运动
71,32,男,本科,1.7,1.6,3.2,0,0,4,2,2,1,9,0,0,0,0,0,0,1,0,0,,0,1,1,1,0,2,0,0,16,否,1,2,1,4,5,3,2,1,5,2,3,2,2,1,3,A,A+,,数据分析,运动
72,38,女,本科,4.1,5.1,4.32,1,1,1,2,0,2,8.6,0,1,0,0,1,0,0,0,2,技术标兵,3,1,1,2,0,0,0,0,19,是,5,4,1,2,5,4,1,5,2,4,4,3,3,4,2,A,A-,A,无,音乐
73,30,男,本科,3,4.3,3.45,1,0,1,2,3,3,8.3,0,0,0,0,0,0,0,0,0,,0,1,2,0,0,2,0,0,20,是,5,5,5,1,4,2,1,2,4,1,3,4,5,2,2,B,B+,,无,无
74,38,男,硕士,4.3,3.6,2.75,0,0,2,1,2,1,8.4,0,1,0,0,0,0,0,0,1,创新奖,1,0,0,3,0,0,1,0,23,是,3,3,1,4,4,3,2,3,2,1,2,3,3,2,5,A,B+,A+,数据分析,无
75,18,女,硕士,1.4,5,3.94,0,1,1,1,0,1,7.9,0,0,0,1,0,0,0,0,0,,1,0,2,2,0,2,0,1,13,否,3,5,2,2,2,3,2,4,4,5,1,1,5,5,1,A+,A-,,无,无
76,35,男,本科,1.8,3.9,2.88,1,0,1,1,0,2,8,0,1,0,1,0,0,0,0,0,,1,1,1,2,0,0,0,0,15,是,1,1,2,2,2,2,3,4,5,1,1,4,1,3,4,A+,A+,A-,项目管理,无
77,31,男,硕士,5.4,2.9,3.37,0,0,0,4,0,1,7.5,1,0,0,0,0,0,0,0,0,,1,0,3,1,0,1,0,0,16,否,4,3,2,4,5,5,5,5,1,5,1,2,5,3,3,B+,A,,项目管理,无
78,29,男,本科,1.8,4.2,3.12,1,0,0,4,1,1,8,0,0,0,0,0,0,1,0,0,,1,0,1,2,1,0,0,0,18,是,1,1,2,1,4,5,4,4,1,3,5,1,5,5,2,A+,A-,,项目管理,无
79,31,女,本科,1.9,6.1,3.22,0,0,2,2,1,1,7.4,1,1,0,0,1,0,1,1,1,创新奖,1,1,2,3,0,2,2,1,14,否,1,4,5,4,3,5,3,1,2,2,5,1,3,4,4,B-,B,B-,无,无
80,21,女,本科,1.1,8.8,3.97,1,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,,2,0,2,1,1,1,0,0,14,是,3,5,2,2,4,4,1,1,4,3,2,4,3,1,3,B-,A,A+,无,旅行
81,29,女,本科,1.2,5.7,4.26,2,0,0,4,2,0,6.3,0,0,0,1,0,0,0,1,0,,1,0,1,3,1,2,1,0,27,是,5,2,4,1,2,2,5,2,1,5,3,4,5,1,4,B-,B,B,无,无
82,32,男,博士,5.7,7.2,2.86,0,1,1,2,0,0,8.5,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,20,是,3,3,4,5,4,3,5,2,4,4,5,3,5,4,3,A,A-,B,无,无
83,38,男,硕士,1.7,2.4,3.81,1,2,0,7,1,0,8.3,0,1,0,0,0,0,1,1,0,,0,1,1,3,1,3,0,0,20,否,3,2,4,3,2,3,2,2,5,4,3,2,4,5,4,A,A+,A-,无,阅读
84,28,女,本科,1.4,9.5,3.13,1,0,1,2,0,4,8.2,0,0,0,0,0,0,0,0,0,,0,0,0,3,2,1,1,1,21,是,3,1,1,4,5,3,5,1,2,3,3,3,1,2,5,A-,B,B,无,阅读
85,26,男,硕士,3.1,2.5,3.15,0,0,1,5,1,1,9,0,1,0,0,0,0,0,0,1,技术标兵,1,0,1,2,0,0,1,0,19,否,1,2,3,2,5,4,5,2,4,4,5,3,1,3,1,B-,A-,B+,无,无
86,28,男,硕士,2.6,4.3,3.75,0,0,2,2,1,1,7.7,0,0,0,1,0,1,0,0,0,,1,1,2,1,0,1,0,0,24,是,4,2,5,1,5,4,1,2,2,5,5,1,2,2,4,B-,A,B-,项目管理,无
87,35,女,博士,4.2,3.9,2.99,2,0,2,2,0,0,8.3,1,0,1,1,0,0,0,0,0,,1,1,0,1,0,0,0,0,13,是,1,4,4,1,3,5,3,1,4,2,2,4,5,3,1,A+,A+,A-,编程,无
88,32,女,本科,2,1.4,3.74,0,0,2,3,0,0,6.3,0,1,0,0,0,0,0,1,0,,1,0,2,2,0,2,1,0,25,否,2,4,4,5,3,4,5,5,4,1,4,1,5,2,4,B,B,,数据分析,无
89,28,男,本科,2.8,5.8,3.87,1,1,0,2,0,2,7.6,0,0,0,0,0,0,0,0,1,技术标兵,1,1,1,1,0,2,0,0,21,是,3,5,2,4,2,5,2,4,5,5,1,2,5,5,2,B,A-,B+,无,无
90,33,男,本科,1.2,2.9,3.28,0,0,0,1,0,0,8.9,1,1,0,1,1,0,0,0,1,技术标兵,0,0,1,3,0,1,0,0,18,否,3,1,4,1,1,5,3,3,2,5,5,3,5,5,5,B+,A+,B,无,运动
91,31,男,本科,3.1,2,4.16,1,0,3,0,0,1,6.7,0,1,0,1,1,0,1,0,1,创新奖,0,0,0,4,0,0,0,0,20,否,2,4,2,5,3,3,2,1,3,1,5,2,1,4,5,A-,A+,,项目管理,无
92,35,女,本科,1.7,4.1,2.86,1,1,1,1,1,0,8.2,0,0,0,0,0,0,0,0,1,优秀员工,1,0,0,3,1,0,0,0,15,是,3,4,2,2,2,4,5,1,4,1,3,4,3,2,1,B,B+,A-,无,无
93,27,女,硕士,4.4,2.5,4.17,0,0,3,5,2,1,7.3,0,0,0,0,0,1,0,0,0,,1,0,3,1,2,1,0,1,24,是,3,5,3,5,4,5,3,3,4,2,4,4,4,2,2,B+,A+,B+,无,无
94,29,女,本科,3.5,5.6,2.53,0,1,1,3,0,1,7.9,0,0,0,0,1,0,0,0,2,创新奖,3,2,1,1,1,2,0,1,27,是,3,3,1,4,5,2,5,3,1,2,5,5,3,4,3,A+,A-,B,项目管理,无
95,29,女,本科,2.7,2.7,4.85,1,0,1,1,1,3,7.4,0,1,0,0,0,0,0,0,0,,0,0,1,1,1,1,1,1,26,否,2,5,2,5,5,2,1,2,2,2,4,2,3,4,5,A-,A,A,无,无
96,23,男,本科,2.9,3.2,3.3,1,0,1,3,0,2,6.8,1,1,1,1,0,0,0,0,0,,0,0,1,1,0,0,0,0,22,否,1,2,2,1,5,4,3,3,3,4,1,1,1,5,2,A-,B-,A,无,无
97,32,女,本科,5,6.9,2.92,1,1,3,1,2,1,8.4,0,0,1,0,0,0,0,0,1,创新奖,0,0,1,1,0,1,0,0,20,否,3,2,3,1,2,3,2,4,5,5,3,2,4,5,2,B-,B+,A+,无,无
98,32,女,本科,1.5,2.5,3.38,0,0,0,2,0,0,8,0,0,0,1,0,0,0,0,0,,1,0,1,1,0,0,0,0,20,否,4,4,2,3,5,3,1,4,3,1,2,3,5,2,1,A,A-,A,项目管理,音乐
99,31,女,本科,0.8,3.3,2.98,1,0,0,4,1,1,8.6,0,0,0,0,0,0,1,0,1,优秀员工,2,1,1,1,0,1,0,0,15,是,2,4,5,5,3,5,4,4,5,5,1,4,1,5,2,B-,A-,B+,无,摄影
100,29,女,本科,2,6.1,3.69,0,0,3,0,1,2,8.8,0,1,0,0,0,0,0,0,1,技术标兵,1,1,1,1,0,1,0,0,15,否,5,5,1,2,4,4,2,4,3,5,4,4,1,5,2,A+,A-,B-,无,无
101,23,女,本科,0.5,4,4.18,1,0,3,0,3,3,9.2,0,0,0,0,0,0,0,0,1,创新奖,0,0,1,4,0,0,0,0,34,否,2,5,5,4,5,2,5,4,3,2,4,2,4,2,3,B-,B,A,无,无
102,28,男,本科,3.2,1.8,3,1,1,2,3,1,1,8.1,0,0,0,0,0,1,0,0,0,,1,0,3,0,0,0,0,1,17,否,1,1,4,3,2,5,2,2,2,2,1,2,2,4,1,A-,B,A-,编程,无
103,29,男,硕士,5.1,1.3,3.79,1,1,3,3,0,0,9.3,0,0,0,0,1,0,0,0,1,优秀员工,2,0,2,3,0,1,1,0,21,否,2,2,1,5,4,5,4,1,1,5,4,2,1,2,1,B-,A,A-,无,无
104,26,女,本科,8.9,2.4,2.73,0,0,0,2,0,3,7,0,1,0,0,0,0,0,1,1,技术标兵,0,0,1,1,0,2,0,0,24,否,5,5,4,2,5,1,2,3,3,2,2,3,3,1,2,B+,A-,A-,无,无
105,30,男,本科,7.3,4.4,4.02,2,0,0,2,2,1,8.9,0,0,0,0,0,1,0,0,0,,1,1,0,2,0,0,0,0,16,是,4,3,2,3,1,4,1,1,4,4,2,3,3,2,3,B-,B,A,无,无
